Oneida	Farabee	60	56	96	40	91	19	8	20	46	73	11	29	4	51	34	72	5	83	24	96
Sebrina	Middendorf	99	92	48	60	84	90	16	85	52	94	60	98	64	25	24	16	76	27	53	75
Barbara	Cassady	12	22	45	18	8	65	65	57	54	65	86	22	45	78	96	11	99	17	9	83
Teresa	Michaelson	98	15	96	82	42	85	67	56	25	79	1	0	52	62	80	43	29	5	65	23
Lovie	Vesey	31	10	59	20	34	90	36	5	74	16	81	52	66	29	99	94	5	63	55	2
Joannie	Guiney	23	31	3	70	19	75	16	37	85	47	61	82	98	67	0	71	1	40	97	96
Corrie	Horwitz	2	87	94	22	50	27	96	73	89	93	65	38	8	20	31	36	69	31	12	60
Susan	Ryals	94	3	82	65	77	11	16	12	41	97	40	61	78	44	28	72	87	75	91	99
Steve	Parenti	19	29	4	77	97	37	4	60	20	43	4	50	23	64	99	33	27	40	50	18
Migdalia	Slaton	47	56	91	77	70	68	91	91	57	66	83	71	85	21	91	89	48	94	96	45
Kimberlee	Mcmullin	14	51	36	27	21	54	54	81	5	76	80	11	70	88	75	95	46	81	93	0
Jackson	Colligan	3	96	9	57	60	43	35	42	58	22	30	93	74	24	41	22	46	80	22	20
Georgia	Fenimore	9	1	55	12	16	53	30	72	53	80	87	6	52	61	86	94	42	11	54	29
Joanne	Goslin	4	7	60	48	68	87	41	89	37	19	98	76	95	9	22	86	77	57	57	30
Brooks	Robichaud	57	64	93	98	54	17	15	12	87	38	80	64	51	8	57	86	82	18	83	67
Catherina	Gaccione	68	33	86	11	72	53	45	87	93	68	25	13	95	49	0	81	98	74	25	84
Lynwood	Goggin	81	35	77	93	90	66	21	9	12	4	73	37	57	1	55	81	91	88	46	3
Alisia	Greiner	54	0	28	57	60	38	93	51	47	91	60	65	54	47	27	8	40	72	17	76
Carleen	Orwig	10	73	90	86	6	73	18	31	10	58	18	23	3	8	39	42	14	37	62	70
Cristine	Barrientes	41	39	3	87	14	32	44	28	43	88	7	64	72	47	16	24	3	44	97	39
Kai	Dekker	19	69	19	13	53	94	99	21	12	2	69	21	52	3	64	51	6	77	20	39
Tobias	Augustus	11	77	63	66	10	4	68	5	66	32	6	0	17	90	73	89	60	0	6	78
Waylon	Hellickson	77	46	50	74	20	20	49	56	45	0	79	13	90	88	52	35	27	32	32	2
Willa	Deatherage	32	94	99	46	25	14	21	70	7	73	36	76	10	3	81	86	79	76	39	81
Althea	Malbon	63	75	72	92	59	22	92	52	71	28	29	90	99	62	75	3	25	80	88	81
Timothy	Laliberte	98	88	70	11	77	31	56	88	57	11	70	66	15	77	11	20	74	97	24	15
